weight,y,sigma_y,Temperature,sigma_T,Observed_field,IceMu,EAnxt,ymin,ymax,xmin,xmax,ticks
1.0000000,-0.0250000,0.0009275,32.0000000,0.1000000,161800000.0000000,0.4326000,-2490000000.0000000,0.0000000,-0.0500000,30.0000000,50.0000000,0.0000000
1.0000000,-0.0292000,0.0009152,36.0000000,0.1000000,159600000.0000000,,,0.0000000,1.0000000,30.0000000,50.0000000,0.2000000
1.0000000,-0.0300000,0.0008840,40.0000000,0.1000000,154200000.0000000,,,,,,,0.4000000
1.0000000,-0.0293000,0.0009138,44.0000000,0.1000000,159400000.0000000,,,,,,,0.6000000
1.0000000,-0.0291000,0.0008690,48.0000000,0.1000000,151600000.0000000,,,,,,,0.8000000
